date_time,Jerusalem_Bar_Ilan,TLV_Yehuda_Hamacabi,Bnei_Brak_Jabotinsky,Bnei_brak_highway4,Rishon_Herzl,Ranana_Ahuza,Haifa_downtown,Haifa_Hadar,Haifa_Horev,TLV_Levinsky
40206,0.8,1.6,NoData,1.6,1,NoData,NoData,NoData,NoData,NoData
40207,0.8,2.8,NoData,2.4,1.3,NoData,NoData,NoData,NoData,NoData
40208,0.7,1.9,NoData,1.4,0.9,NoData,NoData,NoData,NoData,NoData
40209,0.6,1.4,NoData,1.1,0.7,NoData,NoData,NoData,NoData,NoData
40210,0.8,1.9,NoData,1.5,1,NoData,NoData,NoData,NoData,NoData
40211,1,1.9,NoData,1.5,0.8,NoData,NoData,NoData,NoData,NoData
40212,1.1,1.8,NoData,1.5,1,NoData,NoData,NoData,NoData,NoData
40213,0.8,1.4,NoData,1.1,0.6,NoData,NoData,NoData,NoData,NoData
40214,0.7,1.3,NoData,0.9,0.7,NoData,NoData,NoData,NoData,NoData
40215,0.7,1.4,NoData,1,0.7,NoData,NoData,NoData,NoData,NoData
40216,0.9,1.6,NoData,1.4,1.3,NoData,NoData,NoData,NoData,NoData
40217,1,1.9,NoData,1.7,<Samp,NoData,NoData,NoData,NoData,NoData
40218,0.9,1.7,NoData,1.5,NoData,NoData,NoData,NoData,NoData,NoData
40219,0.8,1.6,NoData,1.4,<Samp,NoData,NoData,NoData,NoData,NoData
40220,1.1,1.6,NoData,1.5,0.7,NoData,NoData,NoData,NoData,NoData
40221,1,1.8,NoData,1.8,1.2,NoData,NoData,NoData,NoData,NoData
40222,0.7,1,NoData,1.2,1,NoData,NoData,NoData,NoData,NoData
40223,1.2,1.6,NoData,1.7,1.1,NoData,NoData,NoData,NoData,NoData
40224,0.8,2.4,<Samp,1.9,1.2,NoData,NoData,NoData,NoData,NoData
40225,0.9,2.2,2.3,1.7,1.2,NoData,NoData,NoData,NoData,NoData
40226,0.8,1.4,1.5,1.6,1,NoData,NoData,NoData,NoData,NoData
40227,1.2,1.7,1.6,2.2,1.3,NoData,NoData,NoData,NoData,NoData
40228,0.7,1.4,1.7,1.5,1,3.1,NoData,NoData,NoData,NoData
40229,0.7,1.1,1,1.2,0.9,3.1,NoData,NoData,NoData,NoData
40230,0.8,1.3,1,1.4,0.9,3.3,NoData,NoData,NoData,NoData
40231,0.8,1.4,1.3,1.6,1.2,NoData,NoData,NoData,NoData,NoData
40232,0.8,0.9,0.7,1,1,NoData,NoData,NoData,NoData,NoData
40233,0.9,1,1,1.3,1,3.2,NoData,NoData,NoData,NoData
40234,0.9,1.1,0.9,1.3,0.9,<Samp,NoData,NoData,NoData,NoData
40235,0.9,1.2,1.1,1.4,1,0.6,NoData,NoData,NoData,NoData
40236,0.7,0.8,0.7,0.9,0.7,0.5,NoData,NoData,NoData,NoData
40237,0.7,0.8,0.8,1,0.8,<Samp,NoData,NoData,NoData,NoData
40238,0.7,0.9,0.7,1,0.9,0.5,NoData,NoData,NoData,NoData
40239,0.8,1,1,1.1,1,0.6,NoData,NoData,NoData,NoData
40240,0.8,1.1,1.1,1.4,1,0.6,NoData,NoData,NoData,NoData
40241,0.7,0.9,0.8,1,0.8,0.3,NoData,NoData,NoData,NoData
40242,0.9,1.1,1,1.4,1,0.8,NoData,NoData,NoData,NoData
40243,0.8,1.4,1.2,1.5,1.2,0.6,NoData,NoData,NoData,NoData
40244,0.6,1,0.8,1.3,0.9,0.5,NoData,NoData,NoData,NoData
40245,1.1,1.1,0.9,1.4,0.9,0.5,NoData,NoData,NoData,NoData
40246,1,1.8,2,2.2,<Samp,0.5,NoData,NoData,NoData,NoData
40247,0.8,0.9,1,1.3,0.9,0.2,NoData,NoData,NoData,NoData
40248,1.4,1.3,1,1.5,1.3,0.8,NoData,NoData,NoData,NoData
40249,1,2.5,2.2,2.4,1.5,0.7,NoData,NoData,NoData,NoData
40250,0.7,1.4,1.1,1.6,1,-0.2,NoData,NoData,NoData,NoData
40251,0.7,1,0.7,1.3,0.9,0.7,NoData,NoData,NoData,NoData
40252,0.8,2.2,2,2.2,1.4,0.9,NoData,NoData,NoData,NoData
40253,0.8,1.2,1,1.4,0.9,<Samp,NoData,NoData,NoData,NoData
40254,0.7,0.9,0.7,1,0.7,0.5,NoData,NoData,NoData,NoData
40255,0.8,0.9,0.7,1.2,0.8,0.5,NoData,NoData,NoData,NoData
40256,0.7,0.9,0.7,1.1,0.8,0.6,NoData,NoData,NoData,NoData
40257,0.7,1,0.7,1.2,0.8,0.3,NoData,NoData,NoData,NoData
40258,0.6,0.9,0.6,1.2,0.8,0.3,NoData,NoData,NoData,NoData
40259,0.8,1,0.7,1.4,0.9,0.5,NoData,NoData,NoData,NoData
40260,0.7,1,0.7,1.3,0.8,0.5,NoData,NoData,NoData,NoData
40261,0.7,1.2,0.8,1.5,1.1,0.6,NoData,NoData,NoData,NoData
40262,0.9,1.1,0.8,0.8,0.8,0.5,NoData,NoData,NoData,NoData
40263,0.8,0.9,0.7,0.7,0.7,0.5,NoData,NoData,NoData,NoData
40264,0.6,1,0.6,1.1,0.8,0.6,NoData,NoData,NoData,NoData
40265,0.6,0.9,0.6,1.1,0.8,0.5,NoData,NoData,NoData,NoData
40266,0.8,1.2,1,1.5,0.9,0.7,NoData,NoData,NoData,NoData
40267,0.8,0.9,0.6,1.2,0.8,0.3,NoData,NoData,NoData,NoData
40268,0.6,0.9,0.5,1.1,0.7,0.3,NoData,NoData,NoData,NoData
40269,0.9,1,0.7,1.3,0.8,0.5,NoData,NoData,NoData,NoData
40270,1,1.4,0.9,1.6,1.1,0.7,NoData,NoData,NoData,NoData
40271,0.8,1.4,0.8,1.5,0.7,0.7,NoData,NoData,NoData,NoData
40272,0.6,1.2,0.7,1.3,0.8,0.7,NoData,NoData,NoData,NoData
40273,0.7,1,0.6,1.2,0.7,0.7,NoData,NoData,NoData,NoData
40274,0.8,0.9,0.6,1.2,0.7,0.5,NoData,NoData,NoData,NoData
40275,1,0.9,0.7,1.2,0.7,0.7,NoData,NoData,NoData,NoData
40276,0.8,0.9,0.7,1.1,0.6,0.7,NoData,NoData,NoData,NoData
40277,0.9,0.9,0.7,1.1,0.9,0.7,NoData,NoData,NoData,NoData
40278,0.8,0.9,0.6,1.1,0.6,0.7,NoData,NoData,NoData,NoData
40279,0.8,1,0.6,1.2,0.6,0.7,NoData,NoData,NoData,NoData
40280,0.9,1.1,0.8,1.3,0.7,0.8,NoData,NoData,NoData,NoData
40281,0.8,0.8,0.6,0.9,0.6,0.7,NoData,NoData,NoData,NoData
40282,1,0.9,0.6,1.2,0.7,0.6,NoData,NoData,NoData,NoData
40283,1.2,1,0.7,1.3,0.8,0.6,NoData,NoData,NoData,NoData
40284,1.4,1.3,0.7,1.4,0.8,0.6,NoData,NoData,NoData,NoData
40285,1.2,1.2,0.7,1.3,0.7,0.6,NoData,NoData,NoData,NoData
40286,1,1,0.6,1.3,0.6,0.6,NoData,NoData,NoData,NoData
40287,1,1.2,0.7,1.5,0.6,0.6,NoData,NoData,NoData,NoData
40288,0.7,1.4,0.8,1.6,1,0.8,NoData,NoData,NoData,NoData
40289,0.7,1.7,0.8,1.8,0.6,0.4,NoData,NoData,NoData,NoData
40290,0.7,0.9,0.6,1.1,0.7,0.4,NoData,NoData,NoData,NoData
40291,0.7,0.9,0.6,1.1,0.7,0.7,NoData,NoData,NoData,NoData
40292,0.6,0.9,0.6,1.1,0.7,0.6,NoData,NoData,NoData,NoData
40293,0.6,0.9,0.5,1.1,0.6,0.4,NoData,NoData,NoData,NoData
40294,0.8,1.1,0.7,1.3,0.7,0.7,NoData,NoData,NoData,NoData
40295,0.8,1,0.7,1.3,0.8,0.8,NoData,NoData,NoData,NoData
40296,0.9,1.1,0.6,1.3,0.7,0.6,NoData,NoData,NoData,NoData
40297,0.6,0.9,0.6,1,0.8,0.6,NoData,NoData,NoData,NoData
40298,0.7,0.9,0.6,1.1,0.7,0.5,NoData,NoData,NoData,NoData
40299,0.7,1,0.6,1.2,0.8,0.8,NoData,NoData,NoData,NoData
40300,0.6,0.9,0.5,1.2,<Samp,0.6,NoData,NoData,NoData,NoData
40301,0.7,0.9,0.6,1.3,<Samp,0.6,NoData,NoData,NoData,NoData
40302,0.8,1,0.6,1.3,0.7,0.5,NoData,NoData,NoData,NoData
40303,0.7,1,0.6,1.3,1,0.6,NoData,NoData,NoData,NoData
40304,0.7,1.1,0.6,1.3,1,0.7,NoData,NoData,NoData,NoData
40305,0.8,1.1,0.6,1.3,1,0.7,NoData,NoData,NoData,NoData
40306,0.7,1.2,0.6,1.4,1,0.7,NoData,NoData,NoData,NoData
40307,0.5,1.3,0.6,1.3,1,0.6,NoData,NoData,NoData,NoData
40308,1,1.3,0.7,1.5,1.1,<Samp,NoData,NoData,NoData,NoData
40309,0.9,1.2,0.7,1.5,1,<Samp,NoData,NoData,NoData,NoData
40310,0.9,0.9,0.6,1.2,0.9,0.6,NoData,NoData,NoData,NoData
40311,1,1,0.6,1.3,0.9,0.6,NoData,NoData,NoData,NoData
40312,0.9,1,0.6,1.3,0.9,0.6,NoData,NoData,NoData,NoData
40313,0.8,1.2,0.6,1.2,0.9,0.5,NoData,NoData,NoData,NoData
40314,0.6,1,0.4,1.2,0.9,0.5,NoData,NoData,NoData,NoData
40315,1.1,1.3,0.7,1.5,1.1,0.7,NoData,NoData,NoData,NoData
40316,1,1,0.5,1.3,0.9,0.5,NoData,NoData,NoData,NoData
40317,0.8,0.8,0.4,1,0.7,0.6,NoData,NoData,NoData,NoData
40318,0.6,0.8,0.3,0.9,0.7,0.5,NoData,NoData,NoData,NoData
40319,0.8,0.9,0.4,1.1,0.9,0.6,NoData,NoData,NoData,NoData
40320,0.8,0.9,0.3,1.1,0.8,0.6,NoData,NoData,NoData,NoData
40321,0.7,1,0.3,1.1,0.8,0.7,NoData,NoData,NoData,NoData
40322,0.8,0.8,0.3,0.9,0.8,0.6,NoData,NoData,NoData,NoData
40323,0.9,0.8,0.2,1,0.8,0.6,NoData,NoData,NoData,NoData
40324,0.9,0.9,0.3,1.2,0.9,0.6,NoData,NoData,NoData,NoData
40325,1,1,0.2,1.2,1,0.6,NoData,NoData,NoData,NoData
40326,1,1.2,0.3,1.4,0.9,0.7,NoData,NoData,NoData,NoData
40327,0.8,0.9,0,1,0.8,0.4,NoData,NoData,NoData,NoData
40328,0.7,0.9,0,1,0.7,0.6,NoData,NoData,NoData,NoData
40329,0.9,0.9,0.2,1.3,0.9,0.6,NoData,NoData,NoData,NoData
40330,0.9,1,0.1,1.3,1,0.6,NoData,NoData,NoData,NoData
40331,1,1.1,0.2,1.6,1.1,0.7,NoData,NoData,NoData,NoData
40332,0.8,1,0.2,1.3,0.9,0.5,NoData,NoData,NoData,NoData
40333,0.9,0.9,0.2,1.2,0.8,0.5,NoData,NoData,NoData,NoData
40334,0.8,0.9,0.2,1.1,0.7,0.6,NoData,NoData,NoData,NoData
40335,0.7,0.8,0,1,0.8,0.6,NoData,NoData,NoData,NoData
40336,0.9,1,0.3,1.2,0.9,0.6,NoData,NoData,NoData,NoData
40337,0.9,1,0.2,1.2,0.9,0.6,NoData,NoData,NoData,NoData
40338,0.8,0.9,0.3,1,0.8,0.7,NoData,NoData,NoData,NoData
40339,0.8,1.2,<Samp,1,0.9,0.6,NoData,NoData,NoData,NoData
40340,0.9,<Samp,NoData,1.1,0.8,0.5,NoData,NoData,NoData,NoData
40341,0.8,0.9,NoData,1.1,0.9,0.5,NoData,NoData,NoData,NoData
40342,0.8,0.8,NoData,0.9,0.8,0.5,NoData,NoData,NoData,NoData
40343,0.9,1.1,NoData,1.1,0.8,0.6,NoData,NoData,NoData,NoData
40344,0.9,0.9,NoData,1.2,0.8,0.6,NoData,NoData,NoData,NoData
40345,0.9,0.9,NoData,1.2,0.9,0.6,NoData,NoData,NoData,NoData
40346,0.9,1,NoData,1.3,0.8,0.7,NoData,NoData,NoData,NoData
40347,0.9,1,<Samp,1.3,0.8,0.7,NoData,NoData,NoData,NoData
40348,0.8,1,0.2,1.2,0.9,0.6,NoData,NoData,NoData,NoData
40349,0.7,0.9,0.1,1.2,0.8,0.5,NoData,NoData,NoData,NoData
40350,0.9,1,0.1,1.3,0.9,0.6,NoData,NoData,NoData,NoData
40351,1,1.2,<Samp,1.5,1.1,0.5,NoData,NoData,NoData,NoData
40352,0.9,1,<Samp,1.2,1,0.5,NoData,NoData,NoData,NoData
40353,0.8,0.9,NoData,1.1,0.9,0.7,NoData,NoData,NoData,NoData
40354,0.8,0.8,NoData,0.9,0.8,0.6,NoData,NoData,NoData,NoData
40355,0.7,0.8,NoData,1,0.8,0.6,NoData,NoData,NoData,NoData
40356,0.7,0.8,NoData,0.9,0.7,0.6,NoData,NoData,NoData,NoData
40357,0.9,0.9,NoData,1.1,0.8,0.7,NoData,NoData,NoData,NoData
40358,0.9,1,<Samp,1.2,0.9,0.6,NoData,NoData,NoData,NoData
40359,0.9,1,0.8,1.2,1,0.6,NoData,NoData,NoData,NoData
40360,0.9,0.8,0.7,1,0.8,0.6,NoData,NoData,NoData,NoData
40361,0.9,0.8,0.8,1,0.8,0.7,NoData,NoData,NoData,NoData
40362,0.8,0.8,0.7,1,0.8,0.7,NoData,NoData,NoData,NoData
40363,0.7,0.8,0.6,1.1,0.7,0.6,NoData,NoData,NoData,NoData
40364,1,0.9,0.8,<Samp,<Samp,0.6,NoData,NoData,NoData,NoData
40365,0.9,0.9,<Samp,NoData,<Samp,0.7,NoData,NoData,NoData,NoData
40366,1,0.9,NoData,NoData,0.8,0.6,NoData,NoData,NoData,NoData
40367,0.9,0.9,NoData,NoData,0.9,0.6,NoData,NoData,NoData,NoData
40368,0.9,0.9,NoData,NoData,0.9,0.6,NoData,NoData,NoData,NoData
40369,0.9,0.9,NoData,NoData,0.8,0.6,NoData,NoData,NoData,NoData
40370,0.7,0.8,NoData,NoData,0.7,0.7,NoData,NoData,NoData,NoData
40371,1,0.9,<Samp,NoData,0.8,0.7,NoData,NoData,NoData,NoData
40372,1,0.9,1.1,NoData,0.8,0.6,NoData,NoData,NoData,NoData
40373,1,0.9,1.3,NoData,0.9,0.3,NoData,NoData,NoData,NoData
40374,0.9,1,1.2,NoData,0.8,0.7,NoData,NoData,NoData,NoData
40375,0.9,1,1.2,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40376,0.8,1,1.1,NoData,0.9,0.6,NoData,NoData,NoData,NoData
40377,0.8,1,1,NoData,0.8,0.7,NoData,NoData,NoData,NoData
40378,1,1,1.2,NoData,0.8,0.7,NoData,NoData,NoData,NoData
40379,0.9,1,1.2,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40380,0.8,0.9,1.2,NoData,0.8,0.7,NoData,NoData,NoData,NoData
40381,0.9,0.9,1.2,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40382,1,1,1.2,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40383,0.9,0.9,1.2,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40384,0.8,0.9,1.1,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40385,0.9,1,1.3,NoData,1,0.7,NoData,NoData,NoData,NoData
40386,0.9,1,1.2,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40387,0.9,1,1.2,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40388,0.8,0.9,1.2,NoData,0.8,0.7,NoData,NoData,NoData,NoData
40389,0.9,0.9,1.3,NoData,0.8,0.7,NoData,NoData,NoData,NoData
40390,0.9,0.9,1.1,NoData,0.8,0.7,NoData,NoData,NoData,NoData
40391,0.9,0.9,1,NoData,0.7,0.7,NoData,NoData,NoData,NoData
40392,1.1,1,1.3,NoData,0.9,0.8,NoData,NoData,NoData,NoData
40393,1,1,1.3,NoData,0.8,0.7,NoData,NoData,NoData,NoData
40394,1.1,1,1.3,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40395,1,1,1.2,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40396,1,1,1.2,NoData,0.9,0.6,NoData,NoData,NoData,NoData
40397,0.8,1.1,1.1,NoData,1,0.7,NoData,NoData,NoData,NoData
40398,0.7,1,1,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40399,1.1,0.9,1.1,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40400,1,0.9,1.1,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40401,1,0.9,1.2,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40402,1.1,1,1.2,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40403,1.1,0.9,1.2,NoData,1,0.7,NoData,NoData,NoData,NoData
40404,0.9,0.9,1.1,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40405,0.9,0.9,1,NoData,0.8,0.6,NoData,NoData,NoData,NoData
40406,1.1,1,1.2,NoData,1,0.7,NoData,NoData,NoData,NoData
40407,1.2,1,1.3,NoData,1,0.6,NoData,NoData,NoData,NoData
40408,1.2,1,1.3,NoData,1,0.8,NoData,NoData,NoData,NoData
40409,1.1,1.1,1.2,NoData,1,0.8,NoData,NoData,NoData,NoData
40410,1.1,1.1,1.1,NoData,1,0.7,NoData,NoData,NoData,NoData
40411,1.1,1,1.1,NoData,0.9,0.8,NoData,NoData,NoData,NoData
40412,0.8,1,1.1,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40413,1.2,1,1.2,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40414,1.1,1,1.2,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40415,1.4,1,1.2,<Samp,1,0.8,NoData,NoData,NoData,NoData
40416,1.1,1,1.2,NoData,0.9,0.7,NoData,NoData,NoData,NoData
40417,1,0.9,1.2,1.2,0.9,0.7,NoData,NoData,NoData,NoData
40418,1,1,1.1,1.2,0.8,0.6,NoData,NoData,NoData,NoData
40419,0.8,1,1,1.2,0.8,0.6,NoData,NoData,NoData,NoData
40420,1,1,1.2,1.3,0.9,0.7,NoData,NoData,NoData,NoData
40421,1,1,1.1,1.2,0.9,0.6,NoData,NoData,NoData,NoData
40422,0.9,1,1.1,1.1,0.9,0.7,NoData,NoData,NoData,NoData
40423,0.9,1,1.1,1.1,0.8,0.7,NoData,NoData,NoData,NoData
40424,0.9,1,1.2,1.2,0.9,0.7,NoData,NoData,NoData,NoData
40425,0.9,1,1,1.1,0.9,0.7,NoData,NoData,NoData,NoData
40426,0.7,0.9,0.9,1.1,0.8,0.6,NoData,NoData,NoData,NoData
40427,0.9,0.9,1.1,1.2,0.9,<Samp,NoData,NoData,NoData,NoData
40428,0.9,1,1.1,1.1,1,<Samp,NoData,NoData,NoData,NoData
40429,1,1,1.2,1.1,0.9,0.6,NoData,NoData,NoData,NoData
40430,0.9,0.9,1,1.1,0.8,0.7,NoData,NoData,NoData,NoData
40431,0.7,0.9,0.9,1.1,0.8,0.6,NoData,NoData,NoData,NoData
40432,0.7,0.9,1,1.1,0.8,0.5,NoData,NoData,NoData,NoData
40433,0.7,0.9,0.9,1.1,0.7,0.6,NoData,NoData,NoData,NoData
40434,0.9,0.9,1.1,1.1,0.9,0.8,NoData,NoData,NoData,NoData
40435,0.9,0.9,1.1,1.1,0.8,0.7,NoData,NoData,NoData,NoData
40436,1,0.9,1.1,1.1,0.9,0.6,NoData,NoData,NoData,NoData
40437,1,0.9,1,1.2,0.9,0.5,NoData,NoData,NoData,NoData
40438,1,0.9,1.1,1.2,0.8,0.7,NoData,NoData,NoData,NoData
40439,0.8,0.9,1.1,1,0.7,0.7,NoData,NoData,NoData,NoData
40440,0.7,0.9,1.2,1,0.8,0.7,NoData,NoData,NoData,NoData
40441,1.1,1,1.2,1.3,0.9,0.5,NoData,NoData,NoData,NoData
40442,1.2,1,1.2,1.3,1,0.7,NoData,NoData,NoData,NoData
40443,1.3,1.1,1.1,1.1,0.9,0.7,NoData,NoData,NoData,NoData
40444,1,1.1,1.1,1.2,1,0.7,NoData,NoData,NoData,NoData
40445,0.9,1,1,1.1,0.8,0.5,NoData,NoData,NoData,NoData
40446,1,1,1,1.2,0.9,0.7,NoData,NoData,NoData,NoData
40447,0.9,0.9,1,1.1,0.8,0.6,NoData,NoData,NoData,NoData
40448,1.1,1.1,1.2,1.4,0.9,0.7,NoData,NoData,NoData,NoData
40449,1.1,1.1,1.2,1.3,1,0.7,NoData,NoData,NoData,NoData
40450,1,1.1,1,1.3,1,0.7,NoData,NoData,NoData,NoData
40451,0.9,1,0.9,1.1,0.8,0.5,NoData,NoData,NoData,NoData
40452,0.8,1,1,1.2,0.8,0.6,NoData,NoData,NoData,NoData
40453,0.8,1,1.1,1.2,0.9,0.7,NoData,NoData,NoData,NoData
40454,0.8,1,1,1.1,0.8,0.6,NoData,NoData,NoData,NoData
40455,1.1,1.1,1,1.3,0.9,0.6,NoData,NoData,NoData,NoData
40456,1,1,1.1,1.2,0.9,0.7,NoData,NoData,NoData,NoData
40457,1,1,0.9,1.2,0.9,0.5,NoData,NoData,NoData,NoData
40458,1,1,1.1,1.3,0.9,0.6,NoData,NoData,NoData,NoData
40459,1,1,1,1.1,0.9,0.4,NoData,NoData,NoData,NoData
40460,0.8,1,0.9,1.1,0.9,<Samp,NoData,NoData,NoData,NoData
40461,0.8,0.9,1,1.1,0.8,0.5,NoData,NoData,NoData,NoData
40462,1.1,1,0.9,1.4,0.9,0.5,NoData,NoData,NoData,NoData
40463,0.9,1,1,1.2,0.9,<Samp,NoData,NoData,NoData,NoData
40464,1,1.1,0.9,<Samp,0.9,0.7,NoData,NoData,NoData,NoData
40465,1.1,1.2,0.9,1.3,1.1,0.4,NoData,NoData,NoData,NoData
40466,1.2,1.7,1.2,1.9,1.3,0.9,NoData,NoData,NoData,NoData
40467,0.9,1.7,0.9,1.8,1.3,0.3,NoData,NoData,NoData,NoData
40468,0.7,1.1,0.5,1.2,0.9,0.7,NoData,NoData,NoData,NoData
40469,1,1.1,0.9,1.3,0.9,0.6,NoData,NoData,NoData,NoData
40470,1.3,1.4,1.3,1.8,1.3,1,NoData,NoData,NoData,NoData
40471,1.3,2.1,0.9,2.1,1.4,1.1,NoData,NoData,NoData,NoData
40472,1,1.7,<Samp,1.7,1.3,<Samp,NoData,NoData,NoData,NoData
40473,1.1,1.1,0.6,1.3,0.9,<Samp,NoData,NoData,NoData,NoData
40474,0.9,1,1,1,0.8,0.6,NoData,NoData,NoData,NoData
40475,0.7,0.9,1,1.1,0.8,0.8,NoData,NoData,NoData,NoData
40476,0.9,1,0.9,1.2,0.9,0.3,NoData,NoData,NoData,NoData
40477,1,1.1,0.9,1.3,1,0.2,NoData,NoData,NoData,NoData
40478,1,1.2,0.8,1.3,0.9,0.3,NoData,NoData,NoData,NoData
40479,1.2,1.1,0.8,1.3,1,0.5,NoData,NoData,NoData,NoData
40480,0.9,1.5,1.3,1.8,1.3,1.1,NoData,NoData,NoData,NoData
40481,0.8,0.9,0.7,0.9,0.8,0.4,NoData,NoData,NoData,NoData
40482,0.8,0.9,1,1.2,0.8,0.7,NoData,NoData,NoData,NoData
40483,0.9,1,1,1.3,<Samp,0.5,NoData,NoData,NoData,NoData
40484,1,1.2,0.9,1.4,<Samp,0.5,NoData,NoData,NoData,NoData
40485,1,1.1,0.7,1.4,1,0.3,NoData,NoData,NoData,NoData
40486,0.8,1.1,1,1.5,0.9,0.6,NoData,NoData,NoData,NoData
40487,0.8,1,1,1.3,0.8,0.7,NoData,NoData,NoData,NoData
40488,0.8,1.3,0.6,1.4,1.1,0.8,NoData,NoData,NoData,NoData
40489,0.7,1.1,0.8,1.3,1,0.7,NoData,NoData,NoData,NoData
40490,1,1.4,0.9,1.4,1.1,0.4,NoData,NoData,NoData,NoData
40491,1.1,1.2,0.7,1.4,1,0.4,NoData,NoData,NoData,NoData
40492,1.3,1.5,1.3,1.8,1.3,0.6,NoData,NoData,NoData,NoData
40493,1.2,1.7,1.1,1.7,1.3,0.5,NoData,NoData,NoData,NoData
40494,1.5,1.6,0.6,1.8,1.2,0.2,NoData,NoData,NoData,NoData
40495,1.4,1.3,0.9,1.4,1,0,NoData,NoData,NoData,NoData
40496,1.2,1.7,1.1,1.7,1.2,0.5,NoData,NoData,NoData,NoData
40497,1.3,2.1,1.7,2.2,1.4,1,NoData,NoData,NoData,NoData
40498,1.2,1.5,0.6,1.9,1.4,0.8,NoData,NoData,NoData,NoData
40499,1,1.5,0.7,1.8,1.2,1,NoData,NoData,NoData,NoData
40500,1,1.3,0.9,1.5,1,0.4,NoData,NoData,NoData,NoData
40501,1.1,1.3,1,1.5,1.2,0.4,NoData,NoData,NoData,NoData
40502,0.9,1.6,1,1.7,1.3,0.3,NoData,NoData,NoData,NoData
40503,0.9,1.7,0.9,1.8,1.3,<Samp,NoData,NoData,NoData,NoData
40504,1.1,1.2,0.7,1.4,1,0.1,NoData,NoData,NoData,NoData
40505,0.9,1,1.1,1.4,1.1,0.4,NoData,NoData,NoData,NoData
40506,1.2,1.1,1.1,1.4,1.1,0.6,NoData,NoData,NoData,NoData
40507,1.3,1.3,0.9,1.7,1.2,0.4,NoData,NoData,NoData,NoData
40508,1.6,1.5,1.1,1.7,1.3,0.4,NoData,NoData,NoData,NoData
40509,1.2,1.5,0.9,1.6,1.3,0.2,NoData,NoData,NoData,NoData
40510,0.8,1.6,1.1,2,1.5,0.5,NoData,NoData,NoData,NoData
