date_time,Jerusalem_Bar_Ilan,TLV_Yehuda_Hamacabi,Bnei_Brak_Jabotinsky,Bnei_brak_highway4,Rishon_Herzl,Ranana_Ahuza
40306,0.7,1.2,0.6,1.4,1,0.7
40307,0.5,1.2,0.6,1.3,1,0.6
40308,1,1.3,0.7,1.5,1.1,<Samp
40309,0.9,1.2,0.7,1.5,1,<Samp
40310,0.8,1,0.6,1.3,0.9,0.6
40311,1,0.9,0.6,1.3,0.9,0.6
40312,0.9,1,0.6,1.3,0.9,0.6
40313,0.8,1.2,0.6,1.2,0.9,0.5
40314,0.6,1,0.4,1.2,0.9,0.5
40315,1.1,1.3,0.7,1.5,1.1,0.7
40316,1,1,0.5,1.3,0.9,0.5
40317,0.8,0.8,0.4,1,0.7,0.6
40318,0.7,0.8,0.3,0.9,0.7,0.5
40319,0.8,0.9,0.4,1.1,0.9,0.6
40320,0.8,0.9,0.3,1.1,0.8,0.6
40321,0.7,1,0.3,1.1,0.8,0.7
40322,0.8,0.8,0.3,1,0.8,0.6
40323,0.9,0.8,0.2,1,0.8,0.6
40324,0.9,0.9,0.3,1.2,0.9,0.6
40325,1,1,0.2,1.2,1,0.6
40326,1,1.2,0.3,1.4,0.9,0.7
40327,0.8,0.9,0,1,0.8,0.4
40328,0.7,0.9,0,1.1,0.8,0.6
40329,0.9,1,0.2,1.3,0.9,0.6
40330,0.9,1,0.1,1.3,1,0.6
40331,1,1.1,0.2,1.6,1.1,0.7
40332,0.8,1.1,0.2,1.3,0.9,0.5
40333,0.9,0.9,0.2,1.2,0.8,0.5
40334,0.8,0.9,0.2,1.1,0.8,0.6
40335,0.7,0.8,0.1,1,0.7,0.6
40336,0.9,1,0.3,1.2,0.8,0.6
40337,0.9,1,0.2,1.2,1,0.6
40338,0.8,0.9,0.3,1.1,0.8,0.7
40339,0.8,1.2,<Samp,1,0.8,0.6
40340,0.9,<Samp,NoData,1.1,0.8,0.5
40341,0.9,1,NoData,1.1,0.9,0.5
40342,0.8,0.8,NoData,1,0.8,0.5
40343,0.9,1.1,NoData,1.1,0.8,0.6
40344,0.9,0.9,NoData,1.2,0.8,0.6
40345,0.8,0.9,NoData,1.2,0.8,0.6
40346,0.9,1,NoData,1.3,0.8,0.7
40347,0.9,1,<Samp,1.3,0.9,0.7
40348,0.8,1,0.2,1.2,0.8,0.6
40349,0.7,0.9,0.1,1.2,0.8,0.5
40350,0.9,1.1,0.1,1.3,0.9,0.6
40351,1,1.2,<Samp,1.5,1.1,0.5
40352,0.9,1,<Samp,1.2,1,0.5
40353,0.8,0.9,NoData,1.1,0.9,0.7
40354,0.8,0.8,NoData,1,0.8,0.6
40355,0.8,0.8,NoData,1,0.8,0.6
40356,0.7,0.8,NoData,1,0.7,0.6
40357,0.9,0.9,NoData,1.1,0.8,0.7
40358,0.9,1,<Samp,1.2,0.8,0.6
40359,0.9,1,0.8,1.2,1,0.6
40360,0.9,0.8,0.7,1,0.8,0.6
40361,0.9,0.8,0.8,1,0.8,0.7
40362,0.8,0.8,0.7,1,0.8,0.7
40363,0.7,0.8,0.6,1.1,0.7,0.6
40364,1,0.9,0.8,<Samp,<Samp,0.6
40365,0.9,0.9,<Samp,NoData,<Samp,0.7
40366,1,0.9,NoData,NoData,0.8,0.6
40367,0.9,0.9,NoData,NoData,0.9,0.6
40368,0.9,0.9,NoData,NoData,0.9,0.6
40369,0.9,0.9,NoData,NoData,0.8,0.6
40370,0.7,0.8,NoData,NoData,0.7,0.6
40371,1,0.9,<Samp,NoData,0.8,0.7
40372,1,0.9,1.1,NoData,0.8,0.6
40373,1,0.9,1.3,NoData,0.9,0.3
40374,0.9,1,1.2,NoData,0.8,0.7
40375,0.9,1,1.2,NoData,0.9,0.7
40376,0.8,1,1.1,NoData,0.8,0.6
40377,0.8,1,1,NoData,0.8,0.7
40378,1,1,1.2,NoData,0.8,0.7
40379,0.9,1,1.2,NoData,0.9,0.7
40380,0.8,0.9,1.2,NoData,0.9,0.7
40381,0.9,0.9,1.2,NoData,0.9,0.7
40382,1,1,1.2,NoData,0.9,0.7
40383,0.9,0.9,1.2,NoData,0.9,0.7
40384,0.8,0.9,1.1,NoData,0.9,0.6
40385,0.9,1,1.3,NoData,1,0.7
40386,0.9,1,1.2,NoData,0.9,0.6
40387,0.9,1,1.2,NoData,0.9,0.7
40388,0.8,0.9,1.2,NoData,0.8,0.7
40389,0.9,0.9,1.3,NoData,0.8,0.7
40390,0.9,0.9,1.1,NoData,0.8,0.7
40391,1,0.9,1.1,NoData,0.7,0.7
40392,1.1,1,1.3,NoData,0.9,0.8
40393,1,1,1.3,NoData,0.9,0.7
40394,1.1,1,1.3,NoData,0.9,0.7
40395,1,1,1.2,NoData,1,0.7
40396,0.9,1,1.2,NoData,0.9,0.6
40397,0.8,1.1,1.1,NoData,1,0.7
40398,0.7,1,1,NoData,0.9,0.7
40399,1.1,0.9,1.1,NoData,0.9,0.7
40400,1,0.9,1.1,NoData,0.9,0.7
40401,1,0.9,1.2,NoData,0.9,0.7
40402,1.1,1,1.2,NoData,0.9,0.7
40403,1.1,0.9,1.2,NoData,1,0.7
40404,0.9,0.9,1.1,NoData,0.9,0.7
40405,0.9,1,1,NoData,0.8,0.6
40406,1.1,1,1.2,NoData,1,0.7
40407,1.2,1,1.3,NoData,1,0.7
40408,1.2,1,1.3,NoData,1,0.8
40409,1.1,1.1,1.2,NoData,1,0.8
40410,1.1,1.1,1.2,NoData,1,0.7
40411,1.1,1,1.1,NoData,0.9,0.8
40412,0.9,1,1.1,NoData,0.9,0.7
40413,1.2,1,1.2,NoData,0.9,0.7
40414,1.1,1,1.2,NoData,1,0.7
40415,1.4,1,1.2,<Samp,1,0.8
40416,1,1,1.2,NoData,0.9,0.8
40417,1,0.9,1.2,1.2,0.9,0.7
40418,1,1,1.1,1.2,0.9,0.6
40419,0.9,1,1.1,1.2,0.8,0.6
40420,1,1,1.2,1.3,0.9,0.7
40421,1,1,1.1,1.2,0.9,0.6
40422,0.9,1,1.1,1.2,0.9,0.7
40423,1,1,1.1,1.1,0.8,0.6
40424,0.9,1,1.2,1.2,0.9,0.7
40425,0.9,1,1,1.1,0.9,0.6
40426,0.7,0.9,0.9,1.1,0.8,0.6
40427,0.9,1,1.1,1.2,0.9,<Samp
40428,0.9,1,1.1,1.1,0.9,<Samp
40429,1,1,1.2,1.1,0.9,0.6
40430,0.9,0.9,1.1,1.1,0.9,0.7
40431,0.7,0.9,0.9,1.1,0.8,0.6
40432,0.7,0.9,1,1.1,0.8,0.5
40433,0.8,0.9,0.9,1.1,0.8,0.6
40434,0.9,0.9,1.1,1.1,0.9,0.8
40435,0.9,0.9,1.1,1.1,0.8,0.7
40436,1,0.9,1.1,1.1,0.9,0.6
40437,1,0.9,1,1.2,0.8,0.6
40438,1,1,1.1,1.2,0.8,0.7
40439,0.9,0.9,1.2,1,0.7,0.7
40440,0.8,0.9,1.2,1,0.8,0.7
40441,1.1,1,1.2,1.3,0.9,0.5
40442,1.2,1.1,1.2,1.3,1,0.7
40443,1.3,1.1,1.2,1.1,1,0.7
40444,1,1.1,1.1,1.2,1,0.7
40445,0.9,1,1,1.1,0.8,0.5
40446,1,1,1,1.2,0.9,0.7
40447,0.9,0.9,1,1.1,0.8,0.6
40448,1.1,1.1,1.2,1.4,0.9,0.7
40449,1.1,1.1,1.2,1.3,1,0.7
40450,1,1.1,1,1.3,1,0.7
40451,0.9,1,1,1.1,0.8,0.5
40452,0.8,1,1,1.2,0.8,0.6
40453,0.8,1,1.1,1.2,0.9,0.7
40454,0.9,1,1,1.1,0.8,0.6
40455,1,1.1,1,1.3,0.9,0.6
40456,1,1,1.1,1.2,0.9,0.7
40457,1,1,1,1.2,0.9,0.5
40458,1,1,1.1,1.3,0.9,0.6
40459,0.9,1,1,1.1,0.9,0.4
40460,0.8,1,0.9,1.1,0.9,<Samp
40461,0.8,0.9,1,1.1,0.8,0.5
40462,1,1,0.9,1.4,0.9,0.5
40463,0.9,1,1,1.3,0.9,<Samp
40464,1,1.1,0.9,<Samp,0.9,0.7
40465,1.1,1.2,0.9,1.3,1.1,0.4
40466,1.2,1.7,1.2,1.9,1.2,0.9
40467,0.9,1.7,1,1.8,1.3,0.3
40468,0.7,1.1,0.5,1.2,0.9,0.7
40469,1,1.1,0.9,1.3,0.9,0.6
40470,1.3,1.4,1.2,1.8,1.2,1
40471,1.3,2.1,0.9,2.1,1.3,1.1
40472,1,1.7,<Samp,1.7,1.3,<Samp
40473,1.1,1.1,0.6,1.3,1,<Samp
40474,0.9,1,1,1.1,0.8,0.6
40475,0.7,0.9,1,1.1,0.8,0.8
40476,0.9,1,0.9,1.2,0.9,0.3
40477,0.9,1.1,0.9,1.3,0.9,0.2
40478,1,1.2,0.7,1.3,0.9,0.3
40479,1.2,1.1,0.9,1.4,1,0.5
40480,0.9,1.5,1.3,1.8,1.3,1
40481,0.8,0.9,0.7,0.9,0.8,0.4
40482,0.8,0.9,1,1.2,0.8,0.7
40483,0.9,1,1,1.3,<Samp,0.5
40484,1,1.2,0.9,1.4,<Samp,0.5
40485,1,1.1,0.7,1.4,1,0.3
40486,0.9,1.1,1,1.5,0.9,0.6
40487,0.8,1,1,1.3,0.8,0.7
40488,0.8,1.3,0.6,1.4,1.1,0.8
40489,0.7,1.1,0.8,1.3,1,0.7
40490,1,1.4,0.9,1.4,1.1,0.4
40491,1.1,1.2,0.6,1.4,1,0.4
40492,1.3,1.5,1.3,1.8,1.3,0.6
40493,1.2,1.7,1.1,1.7,1.2,0.4
40494,1.5,1.6,0.6,1.8,1.2,0.2
40495,1.4,1.3,0.9,1.4,1,0
40496,1.2,1.7,1.1,1.7,1.2,0.5
40497,1.3,2.1,1.7,2.2,1.4,1
40498,1.2,1.5,0.6,1.9,1.4,0.7
40499,1,1.5,0.7,1.8,1.2,1
40500,1,1.3,1,1.5,1,0.4
40501,1.1,1.3,1,1.5,1.1,0.4
40502,0.9,1.6,1,1.7,1.3,0.3
40503,0.9,1.7,0.9,1.9,1.3,<Samp
40504,1.1,1.2,0.7,1.4,1,0.1
40505,0.9,1,1.1,1.4,1.1,0.4
40506,1.2,1.1,1.1,1.4,1.1,0.6
40507,1.3,1.2,0.9,1.7,1.2,0.4
40508,1.6,1.5,1.1,1.8,1.3,0.4
40509,1.2,1.5,0.9,1.6,1.3,0.2
40510,0.9,1.6,1.1,2,1.5,0.5
40511,1.1,1.7,<Samp,1.8,1.3,0.3
40512,1,2.2,1.6,2.6,1.7,1.1
40513,1.6,2.3,<Samp,2.3,1.8,1.2
40514,1.2,2.3,<Samp,2.6,1.9,0.3
40515,0.9,2.1,1.4,2.8,1.6,<Samp
40516,0.7,2,1.6,1.9,1.3,0.3
40517,0.8,2.2,<Samp,2.1,1.2,0.3
40518,1.1,1.7,<Samp,1.9,1.3,0.5
40519,0.9,0.9,<Samp,1.1,0.9,0.3
40520,1.1,1.3,1.4,1.5,1.1,0.7
40521,1.1,1.3,0.9,1.5,1.1,0.2
40522,1.2,1.5,1.2,1.7,1.3,0.5
40523,1,1.2,<Samp,1.3,0.9,0.3
40524,0.7,0.8,0.9,0.9,0.6,<Samp
40525,0.7,0.8,1,0.9,0.7,NoData
40526,0.9,1,1.3,1.3,1,<Samp
40527,1.4,1.5,1.8,1.6,1.5,1.1
40528,1.5,2,1.9,2.4,1.5,0.7
40529,1.8,1.7,1.3,2.5,1.4,0.5
40530,0.9,1.1,<Samp,1.7,1.1,0.2
40531,0.9,0.9,1,1.2,1,0.2
40532,1.2,1.2,1,1.7,1.2,0.5
40533,0.9,1.2,1,1.6,1.3,<Samp
40534,0.9,1.2,0.9,1.5,1.3,0.5
40535,1.2,1.2,0.9,1.7,1.4,0.6
40536,<Samp,1.7,1.2,2,1.5,0.9
40537,NoData,1.5,0.7,1.5,1.1,0.2
40538,NoData,1.1,0.6,1.5,1,0.3
40539,<Samp,1.6,1.2,2,1.4,0.1
40540,0.8,1,1.3,1.5,1,0.4
40541,0.9,1.5,1.6,1.4,0.9,0.5
40542,<Samp,1.4,1.2,1.7,1.1,0.6
40543,1,1.1,0.9,1.6,1.1,0.5
40544,0.8,1,0.9,1.3,1,0.5
40545,0.8,0.9,1,1.2,0.8,0.4
40546,1,1.2,1,1.6,1.3,0.5
40547,1,1.2,1.2,1.7,1.2,0.6
40548,0.9,1,0.9,1.4,1.1,0.2
40549,0.9,1,1.1,1.5,1,0.4
40550,1,1.3,1.3,1.6,1.2,0.8
40551,1,1.2,0.4,1.4,1,<Samp
40552,0.8,0.9,0.8,1.2,0.9,0.3
40553,1,1,1.1,1.4,1,0.5
40554,1.1,0.9,0.8,1.4,1.1,0.2
40555,1.3,1.3,1.3,1.6,1.2,0.8
40556,1,1.1,1,1.6,1.2,0.6
40557,0.8,1.2,0.7,1.5,1,0.6
40558,0.9,1.2,0.4,1.4,1.1,0.7
40559,0.8,0.8,0.6,1.2,0.8,0.6
40560,1,0.9,1,1.4,1,0.5
40561,1,1.2,1.2,1.8,1.2,0.6
40562,0.9,1,0.9,1.4,1,0.3
40563,1,1.2,1.1,1.7,1.1,0.5
40564,1.1,1.2,1.1,1.6,1.2,0.3
40565,0.8,1.2,1,1.6,0.9,0.2
40566,0.8,1.8,0.6,1.6,1.2,0.6
40567,1.2,1.4,0.8,1.6,1.1,0.4
40568,1.3,1.4,1.2,1.6,1.2,0.4
40569,1.1,1.3,0.9,1.7,1.2,0.4
40570,1.1,0.9,1.3,1.6,1.1,0.5
40571,0.9,0.9,0.7,1.2,1,0.2
40572,0.8,1,1.1,1.3,1,0.3
40573,0.7,0.9,0.6,1.1,0.9,0.1
40574,0.8,0.9,1,1.1,0.9,0.6
40575,0.8,0.8,1.1,1,0.8,0.6
40576,0.9,0.9,1.1,1.4,1,0.7
40577,1,1,1.1,1.4,1,0.5
40578,1.1,1.1,1.1,1.7,1,0.3
40579,0.9,1.2,1.1,1.5,1.2,0.6
40580,0.8,0.9,1,1.2,0.9,0.4
40581,1,<Samp,1.1,1.5,1,0.4
40582,1,<Samp,1.1,1.6,1.2,0.4
40583,1.1,1.1,0.9,1.5,1,0.2
40584,1,1.1,1,1.4,0.9,0.3
40585,0.9,1.1,1.2,1.5,1.1,0.5
40586,0.9,1,1.1,1.2,<Samp,0.5
40587,0.8,1,0.8,1.3,NoData,0.2
40588,1,0.9,1.2,1.3,NoData,0.3
40589,1,1,1,1.3,NoData,0.4
40590,0.9,1,1.1,1.3,<Samp,0.5
40591,0.8,0.9,0.9,1,0.5,0.3
40592,0.9,1,1.1,1.2,1,0.8
40593,1.1,1.1,0.7,1.4,1,0.2
40594,0.8,1,0.5,1.3,1.1,0.1
40595,<Samp,0.9,0.8,1,0.8,0.3
40596,<Samp,1,1,1.2,1,0.6
40597,NoData,1,1,1.3,1,0.4
40598,<Samp,1.4,<Samp,1.6,1.1,0.5
40599,1.3,1,<Samp,1.3,1,0.1
40600,1,1.1,0.3,1.3,1,0.4
40601,0.8,0.9,0.1,1.1,0.9,0.5
40602,1,1,0.2,1.3,1,0.4
40603,1,1,0.2,1.4,1,0.4
40604,1,1,0.2,1.3,1,0.3
40605,1.1,1.1,0.2,1.4,1,0.1
40606,1.2,1,0.2,1.4,1,0.6
40607,0.9,1.1,0.2,1.3,1.1,0.5
40608,0.9,1.1,0.2,1.3,0.9,0.2
40609,1.1,1.1,0.3,1.4,1,0.4
40610,0.9,0.9,0.1,1,0.9,0.3
40611,0.9,0.9,0.2,1.2,0.9,0.4
40612,0.8,0.9,0.2,1,0.8,0.2
40613,0.9,0.9,0.2,1.1,0.9,0.5
40614,0.9,0.9,0.2,1.3,0.9,0.5
40615,0.9,1,0.2,1.3,0.9,0.3
40616,1.1,1.2,0.4,1.5,1.1,0.2
40617,1.1,1.2,0.4,1.4,1,0.3
40618,1,1.1,0.2,1.5,1,0.2
40619,1,1.1,0.6,1.4,1,0.3
40620,1,1.4,0.9,1.7,1.1,0.5
40621,1,1.3,0.8,1.5,1.2,0.1
40622,0.9,1,0.2,1.3,0.9,0.2
40623,1,1.1,0.4,1.4,1,0.5
40624,1,0.9,0.4,1.2,0.8,0.3
40625,0.8,0.9,NoData,1.1,0.8,0.5
40626,0.8,0.9,0.3,1.1,0.8,0.5
40627,0.8,0.9,0.2,1.2,0.9,0.4
40628,0.8,0.9,0.2,1.1,0.8,0.4
40629,0.8,0.9,0.1,1.2,0.8,0.2
40630,1.2,1,0.3,1.5,1.1,0.4
40631,0.9,1,1,1.3,0.9,0.6
40632,1,1,0.8,1.2,0.9,0.2
40633,1.1,1,0.5,1.4,1,0.4
40634,1.2,1.4,0.8,1.6,1,0.6
40635,1.1,1.4,0.8,1.5,0.5,0.2
40636,0.9,0.9,0.4,1.2,0.2,0.1
40637,1,1,0.5,1.3,0.3,0.5
40638,0.9,0.9,0.5,1.3,0.3,0.5
40639,0.8,1,0.6,1.3,0.3,0.4
40640,0.9,1.1,0.6,1.3,0.4,0.4
40641,1.1,1,0.5,1.3,0.3,0.3
40642,0.9,1,0.5,1.2,0.3,0.4
40643,0.8,0.9,0.2,1.1,0.3,0.3
40644,0.9,<Samp,0.5,<Samp,0.4,0.4
40645,0.8,0.9,0.4,<Samp,0.3,0.3
40646,0.8,0.8,0.3,1,0.2,0.3
40647,0.9,0.9,0.4,1.2,0.3,0.4
40648,1.2,1.1,0.6,1.6,0.5,0.6
40649,1.2,1,0.5,1.2,0.3,0.2
40650,0.9,1.2,0.5,1.3,0.3,0.4
40651,1.5,1.2,0.9,1.5,0.4,0.6
40652,1,1.2,0.5,1.2,0.2,0.3
40653,0.8,1,0.3,1.1,0.2,0.3
40654,0.8,1,0.3,1.1,0.2,0.4
40655,0.8,1,0.4,1.1,0.2,0.3
40656,0.8,1,0.3,1,0.2,0.4
40657,0.8,1,0.3,1.1,0.2,0.3
40658,0.9,1.1,0.4,1.1,0.2,0.4
40659,0.7,1,0.3,1.1,0.1,0.3
40660,0.9,1,0.5,1.2,0.3,0.3
40661,1,1.1,0.6,1.4,0.3,0.6
40662,0.6,1.2,0.9,1.5,0.6,0.4
40663,0.3,0.9,0.5,1,0.1,0.4
40664,0.2,0.8,0.4,1,0.1,0.3
40665,0.4,0.9,0.5,1.1,0.2,0.5
40666,0.5,0.9,0.5,1.2,0.1,0.5
40667,0.5,0.9,0.6,1.2,0.3,0.4
40668,0.7,1.4,1,1.6,0.6,0.5
40669,<Samp,0.9,0.6,1.2,0.3,0.1
40670,NoData,0.8,0.5,0.9,0.1,0.3
40671,NoData,0.8,0.4,0.9,0.2,0.3
40672,<Samp,0.8,0.6,1.1,0.2,0.4
40673,0.5,0.9,0.6,1.2,0.2,0.3
40674,0.5,0.9,0.6,1.1,0.2,0.3
40675,0.5,0.9,0.3,<Samp,0.3,0.3
40676,0.5,0.9,0.2,1,0.2,0.4
40677,0.4,0.8,0.1,1,0.2,0.3
40678,0.4,0.8,0,1.1,0.2,0.3
40679,0.6,0.9,0.2,1.2,0.2,0.3
40680,0.7,0.9,0.2,1.2,0.3,0.5
40681,0.6,<Samp,0.4,1.2,0.3,0.5
40682,0.7,1.2,0.5,1.2,0.2,0.4
40683,0.5,1,0.5,1.3,0.3,0.3
40684,0.6,1.1,NoData,1.4,0.4,0.4
40685,0.5,0.9,NoData,1.4,0.3,0.5
40686,0.6,1.1,NoData,1.7,0.4,0.2
40687,0.5,0.9,NoData,1.1,0.2,0.4
40688,0.5,0.9,<Samp,1.1,0.3,0.4
40689,0.6,1,0.2,1.2,0.3,0.5
40690,0.6,1.2,0.3,1.2,0.4,0.4
40691,0.4,1.2,0.3,0.9,0.3,0.3
40692,0.3,0.9,0.1,0.7,0.1,0.3
40693,0.5,0.9,0.2,0.8,0.2,0.4
40694,0.5,0.8,0.3,0.7,0.2,0.4
40695,0.5,0.9,0.3,0.6,0.2,0.4
40696,0.5,0.9,0.4,0.5,0.2,0.4
40697,0.6,0.9,0.4,0.5,0.2,0.4
40698,0.5,0.9,0.5,0.5,0.2,0.3
40699,0.4,0.8,0.4,0.4,0.1,0.4
40700,0.7,0.8,0.5,0.5,0.2,0.4
40701,0.6,0.9,1.5,0.5,0.2,0.3
40702,0.5,0.9,0.6,0.5,0.3,0.3
40703,0.3,0.9,0.6,0.3,0.3,0.3
40704,0.5,0.9,0.8,0.3,0.4,0.4
40705,0.4,0.9,0.8,0.3,0.3,0.4
40706,0.3,1,0.6,0.1,0.2,0.3
40707,0.4,1,0.7,0.2,0.3,0.4
40708,<Samp,0.9,0.7,0.1,0.2,0.4
40709,<Samp,0.9,0.7,0.2,0.2,0.5
40710,0.6,1,0.8,0.2,0.3,0.5
40711,0.6,0.9,0.8,0.2,0.3,1
40712,0.5,0.9,0.8,0.2,0.2,0.5
40713,0.4,1,0.7,0.1,0.1,0.5
40714,0.4,1.1,0.8,0.2,0.2,0.6
40715,0.5,0.9,0.9,0.3,<Samp,0.6
40716,0.4,1,0.9,0.4,0.3,0.6
40717,0.6,1,0.7,0.5,0.3,0.6
40718,0.6,1,0.7,0.5,0.3,0.7
40719,0.5,1,0.6,0.4,0.3,0.6
