"סוג: ממוצע, זמן מיצוע: 24 שעות, תקופה: 01/01/2000 00:01 - 08/02/2025 24:00",,,,,,,,,,
,,,,,,,,,,
תאריך ושעה,"ירושלים, רחוב בר אילן","תל אביב-יפו, רחוב יהודה המכבי","בני ברק, רחוב ז'בוטינסקי","בני ברק, כביש 4","ראשון לציון, רחוב הרצל","רעננה, רחוב אחוזה","חיפה, עצמאות חיפה","חיפה, הרצל - בלפור","חיפה, חורב","תל אביב-יפו, רחוב לוינסקי"
24:00 02/02/2000,NoData,1.9,2.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 03/02/2000,NoData,2.1,2.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 04/02/2000,NoData,2.4,3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 05/02/2000,NoData,1.3,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 06/02/2000,NoData,0.9,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 07/02/2000,NoData,1.8,2.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 08/02/2000,NoData,1.9,2.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 09/02/2000,NoData,2.1,2.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 10/02/2000,NoData,4.4,4.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 11/02/2000,NoData,2,2.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 12/02/2000,NoData,1.6,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 13/02/2000,NoData,1.2,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 14/02/2000,NoData,1.4,2.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 15/02/2000,NoData,1.7,2.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 16/02/2000,NoData,1,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 17/02/2000,NoData,1.8,2.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 18/02/2000,NoData,1.8,2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 19/02/2000,NoData,0.9,1.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 20/02/2000,NoData,1.6,1.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 21/02/2000,NoData,1.6,1.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 22/02/2000,NoData,1.2,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 23/02/2000,NoData,1.4,2.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 24/02/2000,NoData,1.5,2.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 25/02/2000,NoData,1.7,2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 26/02/2000,NoData,1.3,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 27/02/2000,NoData,1.9,2.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 28/02/2000,NoData,1.6,1.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 29/02/2000,NoData,<Samp,2.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 01/03/2000,NoData,0.7,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 02/03/2000,NoData,1.3,2.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 03/03/2000,NoData,1.3,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 04/03/2000,NoData,1.2,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 05/03/2000,NoData,1.4,1.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 06/03/2000,NoData,1.5,2.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 07/03/2000,NoData,0.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 08/03/2000,NoData,1,<Samp,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 09/03/2000,NoData,1.4,1.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 10/03/2000,NoData,1.4,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 11/03/2000,NoData,1.1,1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 12/03/2000,NoData,1.4,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 13/03/2000,NoData,1.3,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 14/03/2000,NoData,1.5,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 15/03/2000,NoData,1.4,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 16/03/2000,NoData,1.6,1.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 17/03/2000,NoData,1.5,1.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 18/03/2000,NoData,0.8,0.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 19/03/2000,NoData,1.4,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 20/03/2000,NoData,1.4,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 21/03/2000,NoData,1.1,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 22/03/2000,NoData,1,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 23/03/2000,NoData,0.7,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 24/03/2000,NoData,0.8,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 25/03/2000,NoData,0.9,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 26/03/2000,NoData,1.3,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 27/03/2000,NoData,1.4,1.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 28/03/2000,NoData,1.4,1.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 29/03/2000,NoData,1.5,1.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 30/03/2000,NoData,1.4,1.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 31/03/2000,NoData,1.5,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 01/04/2000,NoData,3.2,<Samp,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 02/04/2000,NoData,1.9,<Samp,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 03/04/2000,NoData,0.8,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 04/04/2000,NoData,1,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 05/04/2000,NoData,1.6,2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 06/04/2000,NoData,1.8,<Samp,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 07/04/2000,NoData,0.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 08/04/2000,NoData,0.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 09/04/2000,NoData,0.7,<Samp,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 10/04/2000,NoData,0.9,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 11/04/2000,NoData,2.1,2.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 12/04/2000,NoData,3.6,<Samp,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 13/04/2000,NoData,1,<Samp,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 14/04/2000,NoData,0.8,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 15/04/2000,NoData,0.8,1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 16/04/2000,NoData,1.2,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 17/04/2000,NoData,1.6,2.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 18/04/2000,NoData,1.8,<Samp,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 19/04/2000,NoData,1,<Samp,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 20/04/2000,NoData,1,1.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 21/04/2000,NoData,1,1.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 22/04/2000,NoData,0.8,0.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 23/04/2000,NoData,1.2,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 24/04/2000,NoData,1.3,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 25/04/2000,NoData,1.1,1.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 26/04/2000,NoData,1.3,1.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 27/04/2000,NoData,1.3,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 28/04/2000,NoData,1.1,1.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 29/04/2000,NoData,0.9,0.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 30/04/2000,NoData,1.3,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 01/05/2000,NoData,1.2,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 02/05/2000,NoData,1.4,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 03/05/2000,NoData,1.5,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 04/05/2000,NoData,1.1,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 05/05/2000,NoData,0.6,1.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 06/05/2000,NoData,0.5,0.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 07/05/2000,NoData,0.6,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 08/05/2000,NoData,0.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 09/05/2000,NoData,0.8,<Samp,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 10/05/2000,NoData,1.4,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 11/05/2000,NoData,1.3,1.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 12/05/2000,NoData,1.1,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 13/05/2000,NoData,0.8,1.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 14/05/2000,NoData,1,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 15/05/2000,NoData,1,1.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 16/05/2000,NoData,0.9,1.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 17/05/2000,NoData,1.1,1.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 18/05/2000,NoData,0.8,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 19/05/2000,NoData,0.7,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 20/05/2000,NoData,0.7,1.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 21/05/2000,NoData,1.1,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 22/05/2000,NoData,NoData,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 23/05/2000,NoData,NoData,1.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 24/05/2000,NoData,NoData,1.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 25/05/2000,NoData,NoData,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 26/05/2000,NoData,NoData,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 27/05/2000,NoData,NoData,1.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 28/05/2000,NoData,NoData,<Samp,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 29/05/2000,NoData,NoData,<Samp,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 30/05/2000,NoData,NoData,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 31/05/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 01/06/2000,NoData,NoData,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 02/06/2000,NoData,NoData,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 03/06/2000,NoData,NoData,0.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 04/06/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 05/06/2000,NoData,NoData,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 06/06/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 07/06/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 08/06/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 09/06/2000,NoData,NoData,0.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 10/06/2000,NoData,NoData,1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 11/06/2000,NoData,NoData,1.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 12/06/2000,NoData,NoData,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 13/06/2000,NoData,NoData,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 14/06/2000,NoData,NoData,1.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 15/06/2000,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 16/06/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 17/06/2000,NoData,NoData,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 18/06/2000,NoData,NoData,1.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 19/06/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 20/06/2000,NoData,NoData,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 21/06/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 22/06/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 23/06/2000,NoData,NoData,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 24/06/2000,NoData,NoData,0.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 25/06/2000,NoData,NoData,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 26/06/2000,NoData,NoData,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 27/06/2000,NoData,NoData,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 28/06/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 29/06/2000,NoData,NoData,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 30/06/2000,NoData,NoData,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 01/07/2000,NoData,NoData,1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 02/07/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 03/07/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 04/07/2000,NoData,NoData,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 05/07/2000,NoData,NoData,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 06/07/2000,NoData,NoData,1.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 07/07/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 08/07/2000,NoData,NoData,1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 09/07/2000,NoData,NoData,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 10/07/2000,NoData,NoData,1.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 11/07/2000,NoData,NoData,1.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 12/07/2000,NoData,NoData,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 13/07/2000,NoData,NoData,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 14/07/2000,NoData,NoData,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 15/07/2000,NoData,NoData,0.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 16/07/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 17/07/2000,NoData,NoData,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 18/07/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 19/07/2000,NoData,NoData,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 20/07/2000,NoData,NoData,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 21/07/2000,NoData,NoData,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 22/07/2000,NoData,NoData,1.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 23/07/2000,NoData,NoData,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 24/07/2000,NoData,NoData,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 25/07/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 26/07/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 27/07/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 28/07/2000,NoData,NoData,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 29/07/2000,NoData,NoData,0.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 30/07/2000,NoData,NoData,<Samp,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 31/07/2000,NoData,NoData,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 01/08/2000,NoData,NoData,1.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 02/08/2000,NoData,NoData,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 03/08/2000,NoData,NoData,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 04/08/2000,NoData,NoData,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 05/08/2000,NoData,NoData,0.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 06/08/2000,NoData,NoData,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 07/08/2000,NoData,NoData,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 08/08/2000,NoData,NoData,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 09/08/2000,NoData,NoData,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 10/08/2000,NoData,NoData,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 11/08/2000,NoData,NoData,1.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 12/08/2000,NoData,NoData,0.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 13/08/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 14/08/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 15/08/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 16/08/2000,NoData,NoData,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 17/08/2000,NoData,NoData,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 18/08/2000,NoData,NoData,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 19/08/2000,NoData,NoData,0.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 20/08/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 21/08/2000,NoData,NoData,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 22/08/2000,NoData,NoData,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 23/08/2000,NoData,NoData,<Samp,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 24/08/2000,NoData,NoData,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 25/08/2000,NoData,NoData,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 26/08/2000,NoData,NoData,1.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 27/08/2000,NoData,NoData,1.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 28/08/2000,NoData,NoData,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 29/08/2000,NoData,NoData,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 30/08/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 31/08/2000,NoData,0.2,1.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 01/09/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 02/09/2000,NoData,NoData,0.9,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 03/09/2000,NoData,NoData,1.6,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 04/09/2000,NoData,NoData,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 05/09/2000,NoData,NoData,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 06/09/2000,NoData,NoData,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 07/09/2000,NoData,NoData,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 08/09/2000,NoData,NoData,1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 09/09/2000,NoData,NoData,0.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 10/09/2000,NoData,NoData,1.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 11/09/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 12/09/2000,NoData,NoData,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 13/09/2000,NoData,NoData,1.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 14/09/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 15/09/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 16/09/2000,NoData,NoData,0.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 17/09/2000,NoData,NoData,1.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 18/09/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
24:00 19/09/2000,NoData,NoData,1.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData
