date,station,CO
10/04/2010,Jerusalem_Bar_Ilan,0.8
11/04/2010,Jerusalem_Bar_Ilan,0.9
12/04/2010,Jerusalem_Bar_Ilan,0.9
13/04/2010,Jerusalem_Bar_Ilan,0.9
14/04/2010,Jerusalem_Bar_Ilan,1
15/04/2010,Jerusalem_Bar_Ilan,1.2
16/04/2010,Jerusalem_Bar_Ilan,1.4
17/04/2010,Jerusalem_Bar_Ilan,1.2
18/04/2010,Jerusalem_Bar_Ilan,1
19/04/2010,Jerusalem_Bar_Ilan,1
20/04/2010,Jerusalem_Bar_Ilan,0.7
21/04/2010,Jerusalem_Bar_Ilan,0.7
22/04/2010,Jerusalem_Bar_Ilan,0.7
23/04/2010,Jerusalem_Bar_Ilan,0.7
24/04/2010,Jerusalem_Bar_Ilan,0.6
25/04/2010,Jerusalem_Bar_Ilan,0.6
26/04/2010,Jerusalem_Bar_Ilan,0.8
27/04/2010,Jerusalem_Bar_Ilan,0.8
28/04/2010,Jerusalem_Bar_Ilan,0.9
29/04/2010,Jerusalem_Bar_Ilan,0.6
30/04/2010,Jerusalem_Bar_Ilan,0.7
01/05/2010,Jerusalem_Bar_Ilan,0.7
02/05/2010,Jerusalem_Bar_Ilan,0.6
03/05/2010,Jerusalem_Bar_Ilan,0.7
04/05/2010,Jerusalem_Bar_Ilan,0.8
05/05/2010,Jerusalem_Bar_Ilan,0.7
06/05/2010,Jerusalem_Bar_Ilan,0.7
07/05/2010,Jerusalem_Bar_Ilan,0.8
08/05/2010,Jerusalem_Bar_Ilan,0.7
09/05/2010,Jerusalem_Bar_Ilan,0.5
10/05/2010,Jerusalem_Bar_Ilan,1
11/05/2010,Jerusalem_Bar_Ilan,0.9
12/05/2010,Jerusalem_Bar_Ilan,0.8
13/05/2010,Jerusalem_Bar_Ilan,1
14/05/2010,Jerusalem_Bar_Ilan,0.9
15/05/2010,Jerusalem_Bar_Ilan,0.8
16/05/2010,Jerusalem_Bar_Ilan,0.6
17/05/2010,Jerusalem_Bar_Ilan,1.1
18/05/2010,Jerusalem_Bar_Ilan,1
19/05/2010,Jerusalem_Bar_Ilan,0.8
20/05/2010,Jerusalem_Bar_Ilan,0.7
21/05/2010,Jerusalem_Bar_Ilan,0.8
22/05/2010,Jerusalem_Bar_Ilan,0.8
23/05/2010,Jerusalem_Bar_Ilan,0.7
24/05/2010,Jerusalem_Bar_Ilan,0.8
25/05/2010,Jerusalem_Bar_Ilan,0.9
26/05/2010,Jerusalem_Bar_Ilan,0.9
27/05/2010,Jerusalem_Bar_Ilan,1
28/05/2010,Jerusalem_Bar_Ilan,1
29/05/2010,Jerusalem_Bar_Ilan,0.8
30/05/2010,Jerusalem_Bar_Ilan,0.7
31/05/2010,Jerusalem_Bar_Ilan,0.9
01/06/2010,Jerusalem_Bar_Ilan,0.9
02/06/2010,Jerusalem_Bar_Ilan,1
03/06/2010,Jerusalem_Bar_Ilan,0.8
04/06/2010,Jerusalem_Bar_Ilan,0.9
05/06/2010,Jerusalem_Bar_Ilan,0.8
06/06/2010,Jerusalem_Bar_Ilan,0.7
07/06/2010,Jerusalem_Bar_Ilan,0.9
08/06/2010,Jerusalem_Bar_Ilan,0.9
09/06/2010,Jerusalem_Bar_Ilan,0.8
10/06/2010,Jerusalem_Bar_Ilan,0.8
11/06/2010,Jerusalem_Bar_Ilan,0.9
12/06/2010,Jerusalem_Bar_Ilan,0.9
13/06/2010,Jerusalem_Bar_Ilan,0.8
14/06/2010,Jerusalem_Bar_Ilan,0.9
15/06/2010,Jerusalem_Bar_Ilan,0.9
16/06/2010,Jerusalem_Bar_Ilan,0.8
17/06/2010,Jerusalem_Bar_Ilan,0.9
18/06/2010,Jerusalem_Bar_Ilan,0.9
19/06/2010,Jerusalem_Bar_Ilan,0.8
20/06/2010,Jerusalem_Bar_Ilan,0.7
21/06/2010,Jerusalem_Bar_Ilan,0.9
22/06/2010,Jerusalem_Bar_Ilan,1
23/06/2010,Jerusalem_Bar_Ilan,0.9
24/06/2010,Jerusalem_Bar_Ilan,0.8
25/06/2010,Jerusalem_Bar_Ilan,0.8
26/06/2010,Jerusalem_Bar_Ilan,0.8
27/06/2010,Jerusalem_Bar_Ilan,0.7
28/06/2010,Jerusalem_Bar_Ilan,0.9
29/06/2010,Jerusalem_Bar_Ilan,0.9
30/06/2010,Jerusalem_Bar_Ilan,0.9
01/07/2010,Jerusalem_Bar_Ilan,0.9
02/07/2010,Jerusalem_Bar_Ilan,0.9
03/07/2010,Jerusalem_Bar_Ilan,0.8
04/07/2010,Jerusalem_Bar_Ilan,0.7
05/07/2010,Jerusalem_Bar_Ilan,1
06/07/2010,Jerusalem_Bar_Ilan,0.9
07/07/2010,Jerusalem_Bar_Ilan,1
08/07/2010,Jerusalem_Bar_Ilan,0.9
09/07/2010,Jerusalem_Bar_Ilan,0.9
10/07/2010,Jerusalem_Bar_Ilan,0.9
11/07/2010,Jerusalem_Bar_Ilan,0.7
12/07/2010,Jerusalem_Bar_Ilan,1
13/07/2010,Jerusalem_Bar_Ilan,1
14/07/2010,Jerusalem_Bar_Ilan,1
15/07/2010,Jerusalem_Bar_Ilan,0.9
16/07/2010,Jerusalem_Bar_Ilan,0.9
17/07/2010,Jerusalem_Bar_Ilan,0.8
18/07/2010,Jerusalem_Bar_Ilan,0.8
19/07/2010,Jerusalem_Bar_Ilan,1
20/07/2010,Jerusalem_Bar_Ilan,0.9
21/07/2010,Jerusalem_Bar_Ilan,0.8
22/07/2010,Jerusalem_Bar_Ilan,0.9
23/07/2010,Jerusalem_Bar_Ilan,1
24/07/2010,Jerusalem_Bar_Ilan,0.9
25/07/2010,Jerusalem_Bar_Ilan,0.8
26/07/2010,Jerusalem_Bar_Ilan,0.9
27/07/2010,Jerusalem_Bar_Ilan,0.9
28/07/2010,Jerusalem_Bar_Ilan,0.9
29/07/2010,Jerusalem_Bar_Ilan,0.8
30/07/2010,Jerusalem_Bar_Ilan,0.9
31/07/2010,Jerusalem_Bar_Ilan,0.9
01/08/2010,Jerusalem_Bar_Ilan,1
02/08/2010,Jerusalem_Bar_Ilan,1.1
03/08/2010,Jerusalem_Bar_Ilan,1
04/08/2010,Jerusalem_Bar_Ilan,1.1
05/08/2010,Jerusalem_Bar_Ilan,1
06/08/2010,Jerusalem_Bar_Ilan,0.9
07/08/2010,Jerusalem_Bar_Ilan,0.8
08/08/2010,Jerusalem_Bar_Ilan,0.7
09/08/2010,Jerusalem_Bar_Ilan,1.1
10/08/2010,Jerusalem_Bar_Ilan,1
11/08/2010,Jerusalem_Bar_Ilan,1
12/08/2010,Jerusalem_Bar_Ilan,1.1
13/08/2010,Jerusalem_Bar_Ilan,1.1
14/08/2010,Jerusalem_Bar_Ilan,0.9
15/08/2010,Jerusalem_Bar_Ilan,0.9
16/08/2010,Jerusalem_Bar_Ilan,1.1
17/08/2010,Jerusalem_Bar_Ilan,1.2
18/08/2010,Jerusalem_Bar_Ilan,1.2
19/08/2010,Jerusalem_Bar_Ilan,1.1
20/08/2010,Jerusalem_Bar_Ilan,1.1
21/08/2010,Jerusalem_Bar_Ilan,1.1
22/08/2010,Jerusalem_Bar_Ilan,0.9
23/08/2010,Jerusalem_Bar_Ilan,1.2
24/08/2010,Jerusalem_Bar_Ilan,1.1
25/08/2010,Jerusalem_Bar_Ilan,1.4
26/08/2010,Jerusalem_Bar_Ilan,1
27/08/2010,Jerusalem_Bar_Ilan,1
28/08/2010,Jerusalem_Bar_Ilan,1
29/08/2010,Jerusalem_Bar_Ilan,0.9
30/08/2010,Jerusalem_Bar_Ilan,1
31/08/2010,Jerusalem_Bar_Ilan,1
01/09/2010,Jerusalem_Bar_Ilan,0.9
02/09/2010,Jerusalem_Bar_Ilan,1
03/09/2010,Jerusalem_Bar_Ilan,0.9
04/09/2010,Jerusalem_Bar_Ilan,0.9
05/09/2010,Jerusalem_Bar_Ilan,0.7
06/09/2010,Jerusalem_Bar_Ilan,0.9
07/09/2010,Jerusalem_Bar_Ilan,0.9
08/09/2010,Jerusalem_Bar_Ilan,1
09/09/2010,Jerusalem_Bar_Ilan,0.9
10/09/2010,Jerusalem_Bar_Ilan,0.7
11/09/2010,Jerusalem_Bar_Ilan,0.7
12/09/2010,Jerusalem_Bar_Ilan,0.8
13/09/2010,Jerusalem_Bar_Ilan,0.9
14/09/2010,Jerusalem_Bar_Ilan,0.9
15/09/2010,Jerusalem_Bar_Ilan,1
16/09/2010,Jerusalem_Bar_Ilan,1
17/09/2010,Jerusalem_Bar_Ilan,1
18/09/2010,Jerusalem_Bar_Ilan,0.9
19/09/2010,Jerusalem_Bar_Ilan,0.8
20/09/2010,Jerusalem_Bar_Ilan,1.1
21/09/2010,Jerusalem_Bar_Ilan,1.2
22/09/2010,Jerusalem_Bar_Ilan,1.3
23/09/2010,Jerusalem_Bar_Ilan,1
24/09/2010,Jerusalem_Bar_Ilan,0.9
25/09/2010,Jerusalem_Bar_Ilan,1
26/09/2010,Jerusalem_Bar_Ilan,0.9
27/09/2010,Jerusalem_Bar_Ilan,1.1
28/09/2010,Jerusalem_Bar_Ilan,1.1
29/09/2010,Jerusalem_Bar_Ilan,1
30/09/2010,Jerusalem_Bar_Ilan,0.9
01/10/2010,Jerusalem_Bar_Ilan,0.8
02/10/2010,Jerusalem_Bar_Ilan,0.8
03/10/2010,Jerusalem_Bar_Ilan,0.9
04/10/2010,Jerusalem_Bar_Ilan,1
05/10/2010,Jerusalem_Bar_Ilan,1
06/10/2010,Jerusalem_Bar_Ilan,1
07/10/2010,Jerusalem_Bar_Ilan,1
08/10/2010,Jerusalem_Bar_Ilan,0.9
09/10/2010,Jerusalem_Bar_Ilan,0.8
10/10/2010,Jerusalem_Bar_Ilan,0.8
11/10/2010,Jerusalem_Bar_Ilan,1
12/10/2010,Jerusalem_Bar_Ilan,0.9
13/10/2010,Jerusalem_Bar_Ilan,1
14/10/2010,Jerusalem_Bar_Ilan,1.1
15/10/2010,Jerusalem_Bar_Ilan,1.2
16/10/2010,Jerusalem_Bar_Ilan,0.9
17/10/2010,Jerusalem_Bar_Ilan,0.7
18/10/2010,Jerusalem_Bar_Ilan,1
19/10/2010,Jerusalem_Bar_Ilan,1.3
20/10/2010,Jerusalem_Bar_Ilan,1.3
21/10/2010,Jerusalem_Bar_Ilan,1
22/10/2010,Jerusalem_Bar_Ilan,1.1
23/10/2010,Jerusalem_Bar_Ilan,0.9
24/10/2010,Jerusalem_Bar_Ilan,0.7
25/10/2010,Jerusalem_Bar_Ilan,0.9
26/10/2010,Jerusalem_Bar_Ilan,0.9
27/10/2010,Jerusalem_Bar_Ilan,1
28/10/2010,Jerusalem_Bar_Ilan,1.2
29/10/2010,Jerusalem_Bar_Ilan,0.9
30/10/2010,Jerusalem_Bar_Ilan,0.8
31/10/2010,Jerusalem_Bar_Ilan,0.8
01/11/2010,Jerusalem_Bar_Ilan,0.9
02/11/2010,Jerusalem_Bar_Ilan,1
03/11/2010,Jerusalem_Bar_Ilan,1
04/11/2010,Jerusalem_Bar_Ilan,0.9
05/11/2010,Jerusalem_Bar_Ilan,0.8
06/11/2010,Jerusalem_Bar_Ilan,0.8
07/11/2010,Jerusalem_Bar_Ilan,0.7
08/11/2010,Jerusalem_Bar_Ilan,1
09/11/2010,Jerusalem_Bar_Ilan,1.1
10/11/2010,Jerusalem_Bar_Ilan,1.3
11/11/2010,Jerusalem_Bar_Ilan,1.2
12/11/2010,Jerusalem_Bar_Ilan,1.5
13/11/2010,Jerusalem_Bar_Ilan,1.4
14/11/2010,Jerusalem_Bar_Ilan,1.2
15/11/2010,Jerusalem_Bar_Ilan,1.3
16/11/2010,Jerusalem_Bar_Ilan,1.2
17/11/2010,Jerusalem_Bar_Ilan,1
18/11/2010,Jerusalem_Bar_Ilan,1
19/11/2010,Jerusalem_Bar_Ilan,1.1
20/11/2010,Jerusalem_Bar_Ilan,0.9
21/11/2010,Jerusalem_Bar_Ilan,0.9
22/11/2010,Jerusalem_Bar_Ilan,1.1
23/11/2010,Jerusalem_Bar_Ilan,0.9
24/11/2010,Jerusalem_Bar_Ilan,1.2
25/11/2010,Jerusalem_Bar_Ilan,1.3
26/11/2010,Jerusalem_Bar_Ilan,1.6
27/11/2010,Jerusalem_Bar_Ilan,1.2
28/11/2010,Jerusalem_Bar_Ilan,0.9
29/11/2010,Jerusalem_Bar_Ilan,1.1
30/11/2010,Jerusalem_Bar_Ilan,1
01/12/2010,Jerusalem_Bar_Ilan,1.6
02/12/2010,Jerusalem_Bar_Ilan,1.2
03/12/2010,Jerusalem_Bar_Ilan,0.9
04/12/2010,Jerusalem_Bar_Ilan,0.7
05/12/2010,Jerusalem_Bar_Ilan,0.8
06/12/2010,Jerusalem_Bar_Ilan,1.1
07/12/2010,Jerusalem_Bar_Ilan,0.9
08/12/2010,Jerusalem_Bar_Ilan,1.1
09/12/2010,Jerusalem_Bar_Ilan,1.1
10/12/2010,Jerusalem_Bar_Ilan,1.2
11/12/2010,Jerusalem_Bar_Ilan,1
12/12/2010,Jerusalem_Bar_Ilan,0.7
13/12/2010,Jerusalem_Bar_Ilan,0.7
14/12/2010,Jerusalem_Bar_Ilan,0.9
15/12/2010,Jerusalem_Bar_Ilan,1.4
16/12/2010,Jerusalem_Bar_Ilan,1.5
17/12/2010,Jerusalem_Bar_Ilan,1.8
18/12/2010,Jerusalem_Bar_Ilan,0.9
19/12/2010,Jerusalem_Bar_Ilan,0.9
20/12/2010,Jerusalem_Bar_Ilan,1.2
21/12/2010,Jerusalem_Bar_Ilan,0.9
22/12/2010,Jerusalem_Bar_Ilan,0.9
23/12/2010,Jerusalem_Bar_Ilan,1.2
24/12/2010,Jerusalem_Bar_Ilan,
25/12/2010,Jerusalem_Bar_Ilan,
26/12/2010,Jerusalem_Bar_Ilan,
27/12/2010,Jerusalem_Bar_Ilan,
28/12/2010,Jerusalem_Bar_Ilan,0.8
29/12/2010,Jerusalem_Bar_Ilan,0.9
30/12/2010,Jerusalem_Bar_Ilan,
31/12/2010,Jerusalem_Bar_Ilan,1
01/01/2011,Jerusalem_Bar_Ilan,0.8
02/01/2011,Jerusalem_Bar_Ilan,0.8
03/01/2011,Jerusalem_Bar_Ilan,1
04/01/2011,Jerusalem_Bar_Ilan,1
05/01/2011,Jerusalem_Bar_Ilan,0.9
06/01/2011,Jerusalem_Bar_Ilan,0.9
07/01/2011,Jerusalem_Bar_Ilan,1
08/01/2011,Jerusalem_Bar_Ilan,1
09/01/2011,Jerusalem_Bar_Ilan,0.8
10/01/2011,Jerusalem_Bar_Ilan,1
11/01/2011,Jerusalem_Bar_Ilan,1.1
12/01/2011,Jerusalem_Bar_Ilan,1.3
13/01/2011,Jerusalem_Bar_Ilan,1
14/01/2011,Jerusalem_Bar_Ilan,0.8
15/01/2011,Jerusalem_Bar_Ilan,0.9
16/01/2011,Jerusalem_Bar_Ilan,0.8
17/01/2011,Jerusalem_Bar_Ilan,1
18/01/2011,Jerusalem_Bar_Ilan,1
19/01/2011,Jerusalem_Bar_Ilan,0.9
20/01/2011,Jerusalem_Bar_Ilan,1
21/01/2011,Jerusalem_Bar_Ilan,1.1
22/01/2011,Jerusalem_Bar_Ilan,0.8
23/01/2011,Jerusalem_Bar_Ilan,0.8
24/01/2011,Jerusalem_Bar_Ilan,1.2
25/01/2011,Jerusalem_Bar_Ilan,1.3
26/01/2011,Jerusalem_Bar_Ilan,1.1
27/01/2011,Jerusalem_Bar_Ilan,1.1
28/01/2011,Jerusalem_Bar_Ilan,0.9
29/01/2011,Jerusalem_Bar_Ilan,0.8
30/01/2011,Jerusalem_Bar_Ilan,0.7
31/01/2011,Jerusalem_Bar_Ilan,0.8
01/02/2011,Jerusalem_Bar_Ilan,0.8
02/02/2011,Jerusalem_Bar_Ilan,0.9
03/02/2011,Jerusalem_Bar_Ilan,1
04/02/2011,Jerusalem_Bar_Ilan,1.1
05/02/2011,Jerusalem_Bar_Ilan,0.9
06/02/2011,Jerusalem_Bar_Ilan,0.8
07/02/2011,Jerusalem_Bar_Ilan,1
08/02/2011,Jerusalem_Bar_Ilan,1
09/02/2011,Jerusalem_Bar_Ilan,1.1
10/02/2011,Jerusalem_Bar_Ilan,1
11/02/2011,Jerusalem_Bar_Ilan,0.9
12/02/2011,Jerusalem_Bar_Ilan,0.9
13/02/2011,Jerusalem_Bar_Ilan,0.8
14/02/2011,Jerusalem_Bar_Ilan,1
15/02/2011,Jerusalem_Bar_Ilan,1
16/02/2011,Jerusalem_Bar_Ilan,0.9
17/02/2011,Jerusalem_Bar_Ilan,0.8
18/02/2011,Jerusalem_Bar_Ilan,0.9
19/02/2011,Jerusalem_Bar_Ilan,1.1
20/02/2011,Jerusalem_Bar_Ilan,0.8
21/02/2011,Jerusalem_Bar_Ilan,
22/02/2011,Jerusalem_Bar_Ilan,
23/02/2011,Jerusalem_Bar_Ilan,
24/02/2011,Jerusalem_Bar_Ilan,
25/02/2011,Jerusalem_Bar_Ilan,1.3
26/02/2011,Jerusalem_Bar_Ilan,1
27/02/2011,Jerusalem_Bar_Ilan,0.8
28/02/2011,Jerusalem_Bar_Ilan,1
01/03/2011,Jerusalem_Bar_Ilan,1
02/03/2011,Jerusalem_Bar_Ilan,1
03/03/2011,Jerusalem_Bar_Ilan,1.1
04/03/2011,Jerusalem_Bar_Ilan,1.2
05/03/2011,Jerusalem_Bar_Ilan,0.9
06/03/2011,Jerusalem_Bar_Ilan,0.9
07/03/2011,Jerusalem_Bar_Ilan,1.1
08/03/2011,Jerusalem_Bar_Ilan,0.9
09/03/2011,Jerusalem_Bar_Ilan,0.9
10/03/2011,Jerusalem_Bar_Ilan,0.8
11/03/2011,Jerusalem_Bar_Ilan,0.9
12/03/2011,Jerusalem_Bar_Ilan,0.9
13/03/2011,Jerusalem_Bar_Ilan,0.9
14/03/2011,Jerusalem_Bar_Ilan,1.1
15/03/2011,Jerusalem_Bar_Ilan,1.1
16/03/2011,Jerusalem_Bar_Ilan,1
17/03/2011,Jerusalem_Bar_Ilan,1
18/03/2011,Jerusalem_Bar_Ilan,1
19/03/2011,Jerusalem_Bar_Ilan,1
20/03/2011,Jerusalem_Bar_Ilan,0.9
21/03/2011,Jerusalem_Bar_Ilan,1
22/03/2011,Jerusalem_Bar_Ilan,1
23/03/2011,Jerusalem_Bar_Ilan,0.8
24/03/2011,Jerusalem_Bar_Ilan,0.8
25/03/2011,Jerusalem_Bar_Ilan,0.8
26/03/2011,Jerusalem_Bar_Ilan,0.8
27/03/2011,Jerusalem_Bar_Ilan,0.8
28/03/2011,Jerusalem_Bar_Ilan,1.2
29/03/2011,Jerusalem_Bar_Ilan,0.9
30/03/2011,Jerusalem_Bar_Ilan,1
31/03/2011,Jerusalem_Bar_Ilan,1.1
01/04/2011,Jerusalem_Bar_Ilan,1.2
02/04/2011,Jerusalem_Bar_Ilan,1.1
03/04/2011,Jerusalem_Bar_Ilan,0.9
04/04/2011,Jerusalem_Bar_Ilan,1
05/04/2011,Jerusalem_Bar_Ilan,0.9
06/04/2011,Jerusalem_Bar_Ilan,0.8
07/04/2011,Jerusalem_Bar_Ilan,0.9
08/04/2011,Jerusalem_Bar_Ilan,1.1
09/04/2011,Jerusalem_Bar_Ilan,0.9
10/04/2011,Jerusalem_Bar_Ilan,0.8
11/04/2011,Jerusalem_Bar_Ilan,0.9
12/04/2011,Jerusalem_Bar_Ilan,0.8
13/04/2011,Jerusalem_Bar_Ilan,0.8
14/04/2011,Jerusalem_Bar_Ilan,0.9
15/04/2011,Jerusalem_Bar_Ilan,1.2
16/04/2011,Jerusalem_Bar_Ilan,1.2
17/04/2011,Jerusalem_Bar_Ilan,0.9
18/04/2011,Jerusalem_Bar_Ilan,1.5
19/04/2011,Jerusalem_Bar_Ilan,1
20/04/2011,Jerusalem_Bar_Ilan,0.8
21/04/2011,Jerusalem_Bar_Ilan,0.8
22/04/2011,Jerusalem_Bar_Ilan,0.8
23/04/2011,Jerusalem_Bar_Ilan,0.8
24/04/2011,Jerusalem_Bar_Ilan,0.8
25/04/2011,Jerusalem_Bar_Ilan,0.9
26/04/2011,Jerusalem_Bar_Ilan,0.7
27/04/2011,Jerusalem_Bar_Ilan,0.9
28/04/2011,Jerusalem_Bar_Ilan,1
29/04/2011,Jerusalem_Bar_Ilan,0.6
30/04/2011,Jerusalem_Bar_Ilan,0.3
01/05/2011,Jerusalem_Bar_Ilan,0.2
02/05/2011,Jerusalem_Bar_Ilan,0.4
03/05/2011,Jerusalem_Bar_Ilan,0.5
04/05/2011,Jerusalem_Bar_Ilan,0.5
05/05/2011,Jerusalem_Bar_Ilan,0.7
06/05/2011,Jerusalem_Bar_Ilan,
07/05/2011,Jerusalem_Bar_Ilan,
08/05/2011,Jerusalem_Bar_Ilan,
09/05/2011,Jerusalem_Bar_Ilan,
10/05/2011,Jerusalem_Bar_Ilan,0.5
11/05/2011,Jerusalem_Bar_Ilan,0.5
12/05/2011,Jerusalem_Bar_Ilan,0.5
13/05/2011,Jerusalem_Bar_Ilan,0.5
14/05/2011,Jerusalem_Bar_Ilan,0.4
15/05/2011,Jerusalem_Bar_Ilan,0.4
16/05/2011,Jerusalem_Bar_Ilan,0.6
17/05/2011,Jerusalem_Bar_Ilan,0.7
18/05/2011,Jerusalem_Bar_Ilan,0.6
19/05/2011,Jerusalem_Bar_Ilan,0.7
20/05/2011,Jerusalem_Bar_Ilan,0.5
21/05/2011,Jerusalem_Bar_Ilan,0.6
22/05/2011,Jerusalem_Bar_Ilan,0.5
23/05/2011,Jerusalem_Bar_Ilan,0.6
24/05/2011,Jerusalem_Bar_Ilan,0.5
25/05/2011,Jerusalem_Bar_Ilan,0.5
26/05/2011,Jerusalem_Bar_Ilan,0.6
27/05/2011,Jerusalem_Bar_Ilan,0.6
28/05/2011,Jerusalem_Bar_Ilan,0.4
29/05/2011,Jerusalem_Bar_Ilan,0.3
30/05/2011,Jerusalem_Bar_Ilan,0.5
31/05/2011,Jerusalem_Bar_Ilan,0.5
01/06/2011,Jerusalem_Bar_Ilan,0.5
02/06/2011,Jerusalem_Bar_Ilan,0.5
03/06/2011,Jerusalem_Bar_Ilan,0.6
04/06/2011,Jerusalem_Bar_Ilan,0.5
05/06/2011,Jerusalem_Bar_Ilan,0.4
06/06/2011,Jerusalem_Bar_Ilan,0.7
07/06/2011,Jerusalem_Bar_Ilan,0.6
08/06/2011,Jerusalem_Bar_Ilan,0.5
09/06/2011,Jerusalem_Bar_Ilan,0.3
10/06/2011,Jerusalem_Bar_Ilan,0.5
